targetId,comparatorId,outcomeId,outcomeName,type
137,138,434165,Abnormal cervical smear,outcome
137,138,436409,Abnormal pupil,outcome
137,138,199192,Abrasion and/or friction burn of trunk without infection,outcome
137,138,4088290,Absence of breast,outcome
137,138,4092879,Absent kidney,outcome
137,138,436634,Acariasis,outcome
137,138,44783954,Acid reflux,outcome
137,138,75911,Acquired hallux valgus,outcome
137,138,137951,Acquired keratoderma,outcome
137,138,77965,Acquired trigger finger,outcome
137,138,376707,Acute conjunctivitis,outcome
137,138,4103640,Amputated foot,outcome
137,138,432595,Amyloidosis,outcome
137,138,73241,Anal and rectal polyp,outcome
137,138,437082,Ankylosing spondylitis,outcome
137,138,77650,Aseptic necrosis of bone,outcome
137,138,378424,Astigmatism,outcome
137,138,374923,Bell's palsy,outcome
137,138,4110709,Benign epithelial neoplasm of skin,outcome
137,138,133655,Burn of forearm,outcome
137,138,73560,Calcaneal spur,outcome
137,138,434327,Cannabis abuse,outcome
137,138,4213540,Cervical somatic dysfunction,outcome
137,138,381581,Chalazion,outcome
137,138,140842,Changes in skin texture,outcome
137,138,438531,Chondromalacia,outcome
137,138,81378,Chondromalacia of patella,outcome
137,138,432303,Cocaine abuse,outcome
137,138,4201390,Colostomy present,outcome
137,138,46269889,Complication due to Crohn's disease,outcome
137,138,134438,Contact dermatitis,outcome
137,138,78619,Contusion of knee,outcome
137,138,201606,Crohn's disease,outcome
137,138,260134,Croup,outcome
137,138,76786,Derangement of knee,outcome
137,138,4115402,Difficulty sleeping,outcome
137,138,443767,Disorder of eye due to diabetes mellitus,outcome
137,138,45757370,Disproportion of reconstructed breast,outcome
137,138,433111,Effects of hunger,outcome
137,138,441589,Endocarditis,outcome
137,138,200775,Endometrial hyperplasia,outcome
137,138,433527,Endometriosis,outcome
137,138,73008,Enthesopathy,outcome
137,138,4249170,Epicondylitis,outcome
137,138,4170770,Epidermoid cyst,outcome
137,138,4345472,Epstein-Barr virus disease,outcome
137,138,4092896,Feces contents abnormal,outcome
137,138,259995,Foreign body in orifice,outcome
137,138,4050747,Fracture of upper limb,outcome
137,138,196456,Gallstone,outcome
137,138,40481632,Ganglion cyst,outcome
137,138,4166231,Genetic predisposition,outcome
137,138,74855,Genital herpes simplex,outcome
137,138,433577,Hammer toe,outcome
137,138,441818,Hemangioma,outcome
137,138,4231770,Hereditary thrombophilia,outcome
137,138,440329,Herpes zoster without complication,outcome
137,138,4012570,High risk sexual behavior,outcome
137,138,4038835,Hodgkin's disease,outcome
137,138,4012934,Homocystinuria,outcome
137,138,441788,Human papilloma virus infection,outcome
137,138,380688,Hypoglycemic coma,outcome
137,138,4254542,Hypopituitarism,outcome
137,138,4201717,Ileostomy present,outcome
137,138,374375,Impacted cerumen,outcome
137,138,140480,Impetigo,outcome
137,138,4344500,Impingement syndrome of shoulder region,outcome
137,138,139099,Ingrowing nail,outcome
137,138,444132,Injury of knee,outcome
137,138,434926,Iridocyclitis,outcome
137,138,196168,Irregular periods,outcome
137,138,75576,Irritable bowel syndrome,outcome
137,138,432593,Kwashiorkor,outcome
137,138,434203,Late effect of contusion,outcome
137,138,438329,Late effect of motor vehicle accident,outcome
137,138,443285,Lesion of cervix,outcome
137,138,195873,Leukorrhea,outcome
137,138,440638,Lyme disease,outcome
137,138,4083487,Macular drusen,outcome
137,138,4156115,Malignant neoplasm of endocrine gland,outcome
137,138,4103703,Melena,outcome
137,138,4134455,Mononeuropathy,outcome
137,138,4209423,Nicotine dependence,outcome
137,138,377572,Noise effects on inner ear,outcome
137,138,40480893,Nonspecific tuberculin test reaction,outcome
137,138,136368,Non-toxic multinodular goiter,outcome
137,138,4215978,Onychomycosis,outcome
137,138,140648,Onychomycosis due to dermatophyte,outcome
137,138,438130,Opioid abuse,outcome
137,138,75354,Osteochondropathy,outcome
137,138,192606,Paraplegia,outcome
137,138,4091513,Passing flatus,outcome
137,138,4112731,Polyp of intestine,outcome
137,138,4202045,Postviral fatigue syndrome,outcome
137,138,373478,Presbyopia,outcome
137,138,46286594,Problem related to lifestyle,outcome
137,138,439790,Psychalgia,outcome
137,138,81634,Ptotic breast,outcome
137,138,253954,Pulmonary tuberculosis,outcome
137,138,4087647,Rectal mass,outcome
137,138,380706,Regular astigmatism,outcome
137,138,438688,Sarcoidosis,outcome
137,138,4169984,Scar,outcome
137,138,141932,Senile hyperkeratosis,outcome
137,138,196236,Septic shock,outcome
137,138,254443,Sjögren's syndrome,outcome
137,138,36713918,Somatic dysfunction of lumbar region,outcome
137,138,443172,"Splinter of face, without major open wound",outcome
137,138,81151,Sprain of ankle,outcome
137,138,72748,Strain of rotator cuff capsule,outcome
137,138,378427,Tear film insufficiency,outcome
137,138,134461,Tietze's disease,outcome
137,138,437264,Tobacco dependence syndrome,outcome
137,138,4234533,Tonsillitis,outcome
137,138,4030042,Toxic goiter,outcome
137,138,81893,Ulcerative colitis,outcome
