targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,includedCovariateConceptIds
148,149,121;122;91,,
148,151,121;122;91,,
148,152,121;122;91,,
149,151,121;122;91,,
149,152,121;122;91,,
153,151,121;122;91,,
154,155,121;122;91,,
154,156,121;122;91,,
154,157,121;122;91,,
155,156,121;122;91,,
155,157,121;122;91,,
158,156,121;122;91,,
158,157,121;122;91,,
159,169,121;122;91,,
159,161,121;122;91,,
159,162,121;122;91,,
169,161,121;122;91,,
169,162,121;122;91,,
163,161,121;122;91,,
163,162,121;122;91,,
164,165,121;122;91,,
164,166,121;122;91,,
164,167,121;122;91,,
165,167,121;122;91,,
165,166,121;122;91,,
168,166,121;122;91,,
168,167,121;122;91,,
153,152,121;122;91,,
163,551,121;122;91,,
159,551,121;122;91,,
169,551,121;122;91,,
158,550,121;122;91,,
155,550,121;122;91,,
154,550,121;122;91,,
168,552,121;122;91,,
164,552,121;122;91,,
165,552,121;122;91,,
153,553,121;122;91,,
149,553,121;122;91,,
148,553,121;122;91,,
